item	explanation
研究单位	本批35个基因、39条已有名义P关系。其余候选没有被功能判阴性。
统计证据	39条均未通过原652项BH校正；原rho/P/q不重算，展示摘录四位小数。
A	CRC肿瘤模型有基因干预报道；允许促癌/抑癌/条件相反，不等于有效治疗。
B	宿主或髓系遗传干预，必须与癌细胞内在作用分开。
C	药物及靶向救援，不等同未经治疗的基因敲低依赖。
D	运输或药物摄取的直接验证，不自动是抗肿瘤表型。
E	通路内有遗传线索，但不能把全部上游表型归到该基因。
F	有生化变化，但特定已测肿瘤终点阴性；不推断其他终点。
G	实际分子对象为融合；不能替代普通线性基因。
H	其他癌种、非癌生化或仅风险/调控证据；不计CRC肿瘤表型验证。
I	本轮未确认适用CRC干预来源；不是证明无功能。
优先核查	有可处理且会改变判断的问题；不是治疗靶点排名或最终名单。
保留	保留证据或线索，当前不必继续大量投入。
暂挂	暂挂当前代谢轴/治疗方向，不删除基因、不更改已有数值。
证据深度	逐条注明摘要/选读正文；未全面审计图像、撤稿状态和所有全文。
干预方向	高RNA、正相关或敲低抑瘤，都不足以单独确定患者中的抑制/激活策略。
DepMap	未运行。所有分数、细胞模型数留空，不以0代替未测。
来源独立性	同队列分析、同研究系列或同一论文多个面板，不冒充独立患者验证。
范围	本轮未新增患者统计、外部队列、实验或因果介导验证。
