workflow_step	title_cn	stage_id	source_run	method_and_scope_cn	status	limitation_cn	report_path	report_url
01	身份和配对	03_PATIENT	20260921T102429Z_camp_sample_identity_v1	作者表追溯45对；冲突标本单列；新相关使用60肿瘤作者病例	NEEDS_REVIEW	身份追溯完成，1个组织标签冲突仍未解决	results/BRCA/03_PATIENT/20260921T102429Z_camp_sample_identity_v1/README_CN.md	https://github.com/Asukasssss/-/blob/5f78d08a696d5fac3d95c697b0eb05358cfa1868/results/BRCA/03_PATIENT/20260921T102429Z_camp_sample_identity_v1/README_CN.md
02	配对代谢物	04_ROBUSTNESS	20260921T112611Z_metabolite318_paired_v1	318项全量；45对；Wilcoxon＋整对bootstrap；P入口190项	DONE	作者data可用值不是独立核验仪器检测掩码	results/BRCA/04_ROBUSTNESS/20260921T112611Z_metabolite318_paired_v1/README_CN.md	https://github.com/Asukasssss/-/blob/5f78d08a696d5fac3d95c697b0eb05358cfa1868/results/BRCA/04_ROBUSTNESS/20260921T112611Z_metabolite318_paired_v1/README_CN.md
03	直接映射	02_MAPPING	20260921T124136Z_mapping190_v2	190入口；93项直接映射；262关系；150当前＋6历史	DONE	映射不是功能或患者统计	results/BRCA/02_MAPPING/20260921T124136Z_mapping190_v2/README_CN.md	https://github.com/Asukasssss/-/blob/5f78d08a696d5fac3d95c697b0eb05358cfa1868/results/BRCA/02_MAPPING/20260921T124136Z_mapping190_v2/README_CN.md
04	患者相关和配对RNA	03_PATIENT	20260921T150000Z_mapping262_patient_v1	Spearman置换P、bootstrap；RNA配对t；分别BH	PARTIAL	关系255/262、RNA148/150；缺失或身份待核保留	results/BRCA/03_PATIENT/20260921T150000Z_mapping262_patient_v1/README_CN.md	https://github.com/Asukasssss/-/blob/5f78d08a696d5fac3d95c697b0eb05358cfa1868/results/BRCA/03_PATIENT/20260921T150000Z_mapping262_patient_v1/README_CN.md
05a	旧117单细胞来源	06_EXTERNAL	20260919T140105Z_scRNA117_v1	供者内均值后等权；全部旧候选	DONE	注释来源与队列覆盖见原报告	results/BRCA/06_EXTERNAL/20260919T140105Z_scRNA117_v1/README_CN.md	https://github.com/Asukasssss/-/blob/5f78d08a696d5fac3d95c697b0eb05358cfa1868/results/BRCA/06_EXTERNAL/20260919T140105Z_scRNA117_v1/README_CN.md
05b	旧117来源稳定性	04_ROBUSTNESS	20260919T151200Z_all117_robustness_v2	供者标签bootstrap及两研究对照	DONE	描述性稳定性不是患者百分比	results/BRCA/04_ROBUSTNESS/20260919T151200Z_all117_robustness_v2/README_CN.md	https://github.com/Asukasssss/-/blob/5f78d08a696d5fac3d95c697b0eb05358cfa1868/results/BRCA/04_ROBUSTNESS/20260919T151200Z_all117_robustness_v2/README_CN.md
05c	新增39来源	06_EXTERNAL	20260922T023000Z_sc39_v1	Wu/Pal；20细胞、3来源标签；1000次重采样	DONE	LPCAT4单细胞身份不能解除微阵列待核	results/BRCA/06_EXTERNAL/20260922T023000Z_sc39_v1/README_CN.md	https://github.com/Asukasssss/-/blob/5f78d08a696d5fac3d95c697b0eb05358cfa1868/results/BRCA/06_EXTERNAL/20260922T023000Z_sc39_v1/README_CN.md
05d	全156分型背景	06_EXTERNAL	20260922T064625Z_sc156_subtypes_v1	供者等权的分层描述，无新增P/q	DONE	临床分型不是上皮细胞状态；Pal无可靠分型连接	results/BRCA/06_EXTERNAL/20260922T064625Z_sc156_subtypes_v1/README_CN.md	https://github.com/Asukasssss/-/blob/5f78d08a696d5fac3d95c697b0eb05358cfa1868/results/BRCA/06_EXTERNAL/20260922T064625Z_sc156_subtypes_v1/README_CN.md
05e	全156表达UMAP	06_EXTERNAL	20260922T082327Z_sc156_umap_v1	表达可视化	DONE	UMAP不检验细胞类型富集	results/BRCA/06_EXTERNAL/20260922T082327Z_sc156_umap_v1/README_CN.md	https://github.com/Asukasssss/-/blob/5f78d08a696d5fac3d95c697b0eb05358cfa1868/results/BRCA/06_EXTERNAL/20260922T082327Z_sc156_umap_v1/README_CN.md
05f	细胞类型对照UMAP	06_EXTERNAL	20260922T085000Z_sc156_umap_pairs_v1	相同坐标表达与细胞类型并排	DONE	图示不是机制证据	results/BRCA/06_EXTERNAL/20260922T085000Z_sc156_umap_pairs_v1/README_CN.md	https://github.com/Asukasssss/-/blob/5f78d08a696d5fac3d95c697b0eb05358cfa1868/results/BRCA/06_EXTERNAL/20260922T085000Z_sc156_umap_pairs_v1/README_CN.md
05g	上皮专用UMAP	06_EXTERNAL	20260922T092000Z_epithelial_umap_v1	既有作者注释＋上皮探索嵌入	DONE	可选展示；不称新聚类或患者亚型发现	results/BRCA/06_EXTERNAL/20260922T092000Z_epithelial_umap_v1/README_CN.md	https://github.com/Asukasssss/-/blob/5f78d08a696d5fac3d95c697b0eb05358cfa1868/results/BRCA/06_EXTERNAL/20260922T092000Z_epithelial_umap_v1/README_CN.md
06	整合	07_INTEGRATION	20260921T154000Z_mapping262_integration_v1	全量关系与基因历史保留，本轮再接来源及解释	DONE	外部与功能属于已存附加证据，不是来源主线门槛	results/BRCA/07_INTEGRATION/20260921T154000Z_mapping262_integration_v1/README_CN.md	https://github.com/Asukasssss/-/blob/5f78d08a696d5fac3d95c697b0eb05358cfa1868/results/BRCA/07_INTEGRATION/20260921T154000Z_mapping262_integration_v1/README_CN.md
附加	功能文献117	05_FUNCTION	20260919T120437Z_functional_review_v4	全候选定向检索及证据分层	DONE	不等于所有原文全文逐图审计	results/BRCA/05_FUNCTION/20260919T120437Z_functional_review_v4/README_CN.md	https://github.com/Asukasssss/-/blob/5f78d08a696d5fac3d95c697b0eb05358cfa1868/results/BRCA/05_FUNCTION/20260919T120437Z_functional_review_v4/README_CN.md
附加	功能文献新增39	05_FUNCTION	20260921T152000Z_new39_literature_v1	新增基因功能背景	DONE	遵循模型适用范围，不据文献命中证明功能	results/BRCA/05_FUNCTION/20260921T152000Z_new39_literature_v1/README_CN.md	https://github.com/Asukasssss/-/blob/5f78d08a696d5fac3d95c697b0eb05358cfa1868/results/BRCA/05_FUNCTION/20260921T152000Z_new39_literature_v1/README_CN.md
附加	外部262关系	06_EXTERNAL	20260921T151000Z_mapping262_external_v1	FUSCC126、Tang235可评估；旧q族保留	PARTIAL	FUSCC64条主关系RNA下载受阻；Oslo连接未解决	results/BRCA/06_EXTERNAL/20260921T151000Z_mapping262_external_v1/README_CN.md	https://github.com/Asukasssss/-/blob/5f78d08a696d5fac3d95c697b0eb05358cfa1868/results/BRCA/06_EXTERNAL/20260921T151000Z_mapping262_external_v1/README_CN.md
