evidence_id	gene	year	PMID	DOI	source_url	evidence_topic_cn	model_cn	intervention_cn	outcome_cn	limitation_cn	applicability_cn	review_depth_cn	metabolic_mediation_cn	molecular_object_cn	integrity_scope_cn
E01	SLC6A6	2014	24781822	10.1038/srep04852	https://www.nature.com/articles/srep04852	牛磺酸转运、存活与多药敏感性	DLD1、HT29、HCT15；Colo320DM过表达；HT29侧群细胞异种移植	shRNA/siRNA敲低、过表达；放射性牛磺酸摄取；5-FU/SN-38等处理	敲低降低摄取及存活、提高药物敏感性，减少侧群和肿瘤启动；过表达提高摄取和高密度条件下存活	并非所有增殖期均加速；作者强调存活而非细胞周期；没有建立临床安全性。机制已发表于2014年	CRC直接功能	全文选读：结果、方法及相关图注	有牛磺酸摄取测量；CAMP总体牛磺酸丰度仍不是转运通量	线性基因/蛋白	未作系统撤稿数据库/图像完整性审计；未见提示不等于认证无问题
E02	GSTA4	2022	35936694	10.3389/fonc.2022.887127	https://www.frontiersin.org/journals/oncology/articles/10.3389/fonc.2022.887127/full	GSTA4缺失影响CRC生长和药物敏感性	HCT116及其GSTA4缺失克隆；异种移植	CRISPR敲除；5-FU、奥沙利铂处理	增殖、克隆形成和移植瘤生长下降；ROS升高，药物敏感性增加	主要依赖单一CRC细胞背景；γH2AX的药物条件并不完全一致，不能推广至全部CRC	CRC直接功能	原始摘要及全文选定结果	有氧化应激测量；未证明CAMP GSH—GSTA4负相关介导生长变化	线性基因/蛋白	未作系统撤稿数据库/图像完整性审计；未见提示不等于认证无问题
E03	GSTA4	2025		10.1080/19490976.2025.2451090	https://www.tandfonline.com/doi/abs/10.1080/19490976.2025.2451090	髓系氧化应激、肠球菌相关癌变与正常炎症风险	Gsta4缺失、Il10/Gsta4双缺失小鼠；RAW264.7巨噬细胞	遗传缺失；E. faecalis相关炎症/癌变；铁死亡相关干预	特定微生物条件下癌变减少，巨噬细胞铁死亡增强；但双缺失SPF小鼠自发性结肠炎更重	宿主免疫机制不等同癌细胞内在依赖；正常炎症损伤不能忽视；与早期工作属相关研究系列	CRC相关宿主/炎症遗传证据	原始论文可访问结果与讨论段落	脂质氧化/铁死亡证据；非CAMP GSH患者介导证明	线性基因/蛋白	未作系统撤稿数据库/图像完整性审计；未见提示不等于认证无问题
E04	UCKL1	2023	37343364	10.1016/j.ebiom.2023.104650	https://pubmed.ncbi.nlm.nih.gov/37343364/	UCKL1的非经典铁死亡防御作用	CRC细胞及小鼠异种移植；本轮未逐项核定细胞株	RNA干扰、救援及GPX4抑制剂组合	UCKL1下降影响增殖/迁移并增强脂质过氧化；通过稳定NRF2及SLC7A11抑制铁死亡	作者明确指出相关铁死亡效应不依赖UMP/CMP合成；不能用该功能结果证明尿苷消耗介导	CRC直接功能	原始研究摘要	存在反证：所报道表型不依赖其UMP/CMP合成作用	线性基因/蛋白	未作系统撤稿数据库/图像完整性审计；未见提示不等于认证无问题
E05	HDC	2011	21170045		https://pubmed.ncbi.nlm.nih.gov/21170045/	缺乏组胺促进炎症相关癌变	Hdc缺失小鼠结肠癌变；骨髓移植、CD11b+Ly6G+髓系细胞；CT26相关实验	宿主Hdc敲除、骨髓转移和组胺补充	Hdc缺失促进未成熟髓系积累和炎症相关癌变；组胺补充纠正部分髓系分化/肿瘤支持现象	保护作用主要针对宿主髓系/炎症背景，不等同肿瘤上皮HDC；不能据此主张抑制HDC	CRC相关宿主/炎症遗传证据	原始研究摘要	有组胺补充与髓系机制；不是CAMP整体组织关联的因果证明	线性基因/蛋白	未作系统撤稿数据库/图像完整性审计；未见提示不等于认证无问题
E06	NNMT	2014	25201588		https://pubmed.ncbi.nlm.nih.gov/25201588/	NNMT与1-MNA、能量及CRC肿瘤表型	SW480过表达、HT29敲低及肿瘤形成模型	NNMT过表达/敲低；外源1-MNA	NNMT升高伴增殖/克隆和肿瘤形成增加、凋亡减少；1-MNA/ATP上升、ROS下降，外源1-MNA呈相关效应	已知机制而非本项目首次发现；细胞模型和外源剂量不能直接等同患者浓度	CRC直接功能	原始研究摘要	已有1-MNA相关功能证据；未对本批CAMP患者因果复现	线性基因/蛋白	未作系统撤稿数据库/图像完整性审计；未见提示不等于认证无问题
E07	NNMT	2016	27323852		https://pubmed.ncbi.nlm.nih.gov/27323852/	NNMT、1-MNA与5-FU耐药	HT29敲低、SW480过表达；裸鼠肿瘤	基因干预、1-MNA及5-FU处理	报告NNMT/1-MNA通过ROS—ASK1—p38相关途径增强5-FU耐受	治疗条件依赖；与2014模型和研究系列相近，不算两个独立临床验证	CRC直接功能	原始研究摘要	有代谢物干预；非本次CAMP新机制	线性基因/蛋白	未作系统撤稿数据库/图像完整性审计；未见提示不等于认证无问题
E08	NNMT	2021	34539890		https://pubmed.ncbi.nlm.nih.gov/34539890/	基质来源NNMT/1-MNA与CRC侵袭	结直肠癌基质/成纤维细胞相关模型；具体株本轮未完整核定	NNMT相关基质干预与代谢物条件实验	报告基质NNMT/1-MNA与肿瘤迁移、侵袭相关	基质来源和癌细胞内在功能需区分；本轮以摘要为限，不证明CAMP信号细胞来源	CRC微环境功能背景	原始研究摘要	已有基质—代谢物机制线索；患者来源未证实	线性基因/蛋白	未作系统撤稿数据库/图像完整性审计；未见提示不等于认证无问题
E09	ENO2	2021	33934428		https://pubmed.ncbi.nlm.nih.gov/33934428/	BRAF V600E背景下ENO2功能	BRAF V600E结直肠癌模型	ENO2降低及vemurafenib处理	报告增殖/迁移下降及BRAF抑制剂敏感性增强	特定基因型与药物背景；CAMP的2-PG关联在可用性子集中大幅减弱	CRC直接功能	原始研究摘要	未证明2-PG介导	线性基因/蛋白	未作系统撤稿数据库/图像完整性审计；未见提示不等于认证无问题
E10	ENO2	2022	35954207		https://pubmed.ncbi.nlm.nih.gov/35954207/	ENO2—CYTOR/YAP1与EMT	CRC细胞迁移/侵袭模型	ENO2敲低/过表达及相关通路验证	报告ENO2通过CYTOR/YAP1影响EMT和侵袭，存在独立于糖酵解的功能	非经典功能不能自动由CAMP 2-PG解释；已存在相应机制研究	CRC直接功能	原始研究摘要	研究指出糖酵解非依赖作用	线性基因/蛋白	未作系统撤稿数据库/图像完整性审计；未见提示不等于认证无问题
E11	KMT5A	2023	36921492	10.1016/j.tice.2023.102065	https://pubmed.ncbi.nlm.nih.gov/36921492/	SETD8促进HIF1α/HK2相关糖酵解	CRC细胞；本轮摘要未核定具体株或动物实验	SETD8敲低、过表达；HIF1α抑制	过表达促进增殖和糖酵解，敲低抑制；HIF1α抑制逆转促生长现象	不能添加摘要未报告的动物结论；需与2026抑癌报告比较	CRC直接功能	原始研究摘要	测糖酵解而非CAMP SAM消耗介导	线性基因/蛋白	未作系统撤稿数据库/图像完整性审计；未见提示不等于认证无问题
E12	KMT5A	2026	42527521	10.1038/s41418-026-01831-5	https://www.nature.com/articles/s41418-026-01831-5	SETD8对YAP K76甲基化的抑癌方向	CRC模型；具体干预株与终点细节尚需全文逐项复核	SETD8—YAP K76单甲基化及RNF31相关功能研究	报告YAP K76甲基化促进K48泛素化和降解、抑制CRC进展	与2023促增殖方向不同；需比较非组蛋白/组蛋白底物、模型和干预条件，不应直接决定抑制方向	CRC直接功能	原始摘要及出版社摘要/选定机制段落	位点机制不等于bulk SAM—RNA相关解释	线性基因/蛋白	未作系统撤稿数据库/图像完整性审计；未见提示不等于认证无问题
E13	AQP9	2017	28640255		https://pubmed.ncbi.nlm.nih.gov/28640255/	AQP9提高5-FU摄取及药物反应	结直肠癌细胞及治疗背景；具体株本轮未逐一核定	AQP9过表达及5-FU处理	报告5-FU摄取、细胞周期/凋亡变化以及更好的药物反应	过表达提高药物作用不支持无条件抑制AQP9；并未测试腺嘌呤介导	CRC直接功能	原始研究摘要	药物摄取机制，不是腺嘌呤机制	线性基因/蛋白	未作系统撤稿数据库/图像完整性审计；未见提示不等于认证无问题
E14	AQP9	2023	37360194	10.1093/gastro/goad033	https://academic.oup.com/gastro/article/doi/10.1093/gastro/goad033/7205477	AQP9—DVL2/Wnt与迁移转移	CRC细胞与体内转移背景	AQP9相关遗传干预及DVL2/Wnt机制研究	报告AQP9促进迁移/转移	终点不同于5-FU敏感性；作用方向不能以一个勾概括	CRC直接功能	原始研究摘要	未证明CAMP腺嘌呤介导	线性基因/蛋白	未作系统撤稿数据库/图像完整性审计；未见提示不等于认证无问题
E15	AQP9	2025	40210882	10.1038/s41598-025-95513-w	https://pubmed.ncbi.nlm.nih.gov/40210882/	KRAS G12V—ZHX2/AQP9与生长	KRAS G12V相关CRC细胞背景	AQP9过表达及相关调控研究	报告AQP9过表达抑制增殖、促进凋亡	与促转移研究具有方向/终点差异；需按基因型、治疗和细胞背景拆分	CRC直接功能	原始研究摘要	未证明腺嘌呤转运介导	线性基因/蛋白	未作系统撤稿数据库/图像完整性审计；未见提示不等于认证无问题
E16	PRMT7	2023	37541527	10.1053/j.gastro.2023.07.019	https://pubmed.ncbi.nlm.nih.gov/37541527/	PRMT7剪接变体与CRC生长	CRC细胞及异种移植；PRMT7-V1/V2剪接背景	剪接/变体操作、V2过表达及SGC3027相关实验	报告PRMT7-V2促进肿瘤生长及甲基化相关信号；剪接调控影响作用	总基因RNA不能区分剪接变体；药物证据不等于完全靶向特异	CRC直接功能	原始研究摘要	甲基化/剪接机制；非bulk SAM患者关联因果证明	线性基因/蛋白	未作系统撤稿数据库/图像完整性审计；未见提示不等于认证无问题
E17	SLC38A3	2024	38764627	10.1021/acsomega.4c00901	https://pubs.acs.org/doi/abs/10.1021/acsomega.4c00901	DNAJC5/HSP70背景中的SLC38A3干预	HCT116细胞	siRNA筛选和敲低；HSP70激动剂115-7c相关救援	报告存活、克隆形成及划痕迁移下降；有通路相关部分救援	单一主要细胞模型；未测天冬酰胺摄取或以天冬酰胺完成介导验证	CRC直接功能	原始摘要及可访问方法/结果段落	没有天冬酰胺特异通量/救援证据	线性基因/蛋白	未作系统撤稿数据库/图像完整性审计；未见提示不等于认证无问题
E18	BCAT2	2025	39642324	10.1158/1541-7786.MCR-24-0434	https://pubmed.ncbi.nlm.nih.gov/39642324/	circ0126925—TRIM21—BCAT2蛋白稳定性	高脂/肠道菌群相关CRC；HCT116等实验背景	circRNA干预；HCT116 shBCAT2与circRNA过表达组合	研究支持BCAT2蛋白稳定性参与BCAA利用；可见shBCAT2相关BCAA消费实验	许多肿瘤终点针对上游circRNA，不应全部归为BCAT2单基因效应；本轮未完整审计BCAT2各表型救援图	CRC通路内遗传线索，独立基因终点待核定	原始摘要与可访问结果/图注摘段	有BCAA利用线索；不是CAMP异亮氨酸相关的独立复现	线性基因/蛋白	未作系统撤稿数据库/图像完整性审计；未见提示不等于认证无问题
E19	ICMT	2005	15784746		https://pubmed.ncbi.nlm.nih.gov/15784746/	Cysmethynil与ICMT靶向依赖	人结肠癌细胞软琼脂生长模型	ICMT抑制剂；ICMT过表达药物救援	抑制剂抑制非贴壁生长，ICMT过表达减弱药物效应	以药物及过表达救援为主，不等同基因敲低单独抑制CRC；SAM介导未证实	CRC药理/靶向救援	原始研究摘要	蛋白异戊烯化末端甲基化；bulk SAM通量未测	线性基因/蛋白	未作系统撤稿数据库/图像完整性审计；未见提示不等于认证无问题
E20	ICMT	2016	27710830		https://pubmed.ncbi.nlm.nih.gov/27710830/	6CEPN作用依赖ICMT表达	结肠癌药物处理模型	6CEPN；ICMT敲低用于靶向依赖核查	报告生长抑制及细胞死亡；ICMT敲低削弱部分药物诱导死亡	敲低减弱药效不是敲低本身杀伤；不能把所有药物表型等同ICMT遗传依赖	CRC药理/靶向救援	原始研究摘要	未证明CAMP SAM关系介导	线性基因/蛋白	未作系统撤稿数据库/图像完整性审计；未见提示不等于认证无问题
E21	GSTO2	2023	36688005	10.1155/2023/4931650	https://onlinelibrary.wiley.com/doi/abs/10.1155/2023/4931650	GSTO2对CRC细胞体外表型的干预	HCT116、HT29	3条siRNA筛选后主要用效率较高者；EdU、划痕及Transwell	报告GSTO2降低后增殖和迁移减少	未核实基因特异救援或动物实验；主要为体外有限验证。检索未见撤稿提示，不等于完整性认证	CRC直接功能	原始摘要与可访问正文方法/结果	未测对应GSH通量或完成GSH介导救援	线性基因/蛋白	未作系统撤稿数据库/图像完整性审计；未见提示不等于认证无问题
E22	SLC29A1	2015	26235575	10.1248/bpb.b14-00622	https://www.jstage.jst.go.jp/article/bpb/38/8/38_b14-00622/_html/-char/ja	ENT1介导尿苷和地西他滨摄取	HCT116	ENT1 siRNA；NBMPR抑制；地西他滨处理	降低ENT1减少尿苷/地西他滨摄取；抑制剂减弱药物相关去甲基化和细胞毒性	证明运输/药理联系，不证明未治疗状态下敲低可抑瘤；减少药物摄取可能损害疗效	CRC直接运输/药理	全文选读：结果与方法	直接测尿苷摄取；bulk尿苷差异不等于患者转运通量	线性基因/蛋白	未作系统撤稿数据库/图像完整性审计；未见提示不等于认证无问题
E23	B4GALT2	2016	27004849	10.1038/srep23642	https://www.nature.com/articles/srep23642	B4GALT2 A146V的生化改变与迁移阴性	患者来源CRC；COS7重组实验；SW480	野生型/A146V突变体表达；酶活、修饰及迁移比较	A146V改变酶活/修饰；SW480中野生型或A146V表达未改变迁移	同文其他糖基转移酶的迁移效应不能归给B4GALT2；迁移阴性不证明所有其他终点无作用	CRC生化验证；所测迁移终点阴性	全文选读：结果与相应图注	UDP是候选反应关联；未证明UDP介导肿瘤表型	野生型与A146V突变体	未作系统撤稿数据库/图像完整性审计；未见提示不等于认证无问题
E24	PLA2G15	2019	29909608	10.4143/crt.2018.103	https://pubmed.ncbi.nlm.nih.gov/29909608/	NFATC3–PLA2G15融合，不是野生型酶	COLO320；少数CRC标本中的融合	融合转录本特异siRNA	融合降低后增殖、克隆、侵袭及EMT相关表型减弱	该实验不能证明野生型PLA2G15处理GPC的功能；不得把融合效应直接回填到本候选	研究对象不等同：融合基因	原始研究摘要	未证明野生型PLA2G15—GPC介导	NFATC3–PLA2G15融合	未作系统撤稿数据库/图像完整性审计；未见提示不等于认证无问题
E25	NME6	2021	34789336	10.1186/s13578-021-00707-0	https://pubmed.ncbi.nlm.nih.gov/34789336/	早期NME6单体活性描述	非COAD专属的重组/细胞生化系统	NME6蛋白和细胞功能分析	报告单体NME6缺乏经典NDP激酶活性	不能据此否定后续发现的伴侣依赖活性；需连同2023研究解释	非CRC特异生化机制	原始研究摘要	未证明CAMP对应代谢物介导	线性基因/蛋白	未作系统撤稿数据库/图像完整性审计；未见提示不等于认证无问题
E26	NME6	2023	37770567	10.1038/s41556-023-01244-3	https://pubmed.ncbi.nlm.nih.gov/37770567/	NME6–RCC1L与线粒体嘧啶核苷酸	K562等非CRC专属模型	NME6/RCC1L相关遗传与生化研究	支持伴侣依赖的核苷二磷酸激酶作用及线粒体RNA/翻译调控	非COAD肿瘤干预验证；整体组织UDP不能代表线粒体UDP池	非CRC特异生化机制	原始研究摘要	有线粒体核苷酸机制；不是COAD患者介导证据	线性基因/蛋白	未作系统撤稿数据库/图像完整性审计；未见提示不等于认证无问题
E27	NME6	2023	37439264	10.15252/embj.2022113256	https://pubmed.ncbi.nlm.nih.gov/37439264/	NME6缺失与线粒体转录/呼吸	细胞线粒体功能模型，非本COAD队列	基因缺失及嘧啶核糖核苷补充	报告线粒体转录、氧化磷酸化异常，可被部分核苷补充缓解	核苷补救不等同CRC治疗靶点；模型与代谢区室需保留	非CRC特异生化机制	原始研究摘要	未证明CAMP对应代谢物介导	线性基因/蛋白	未作系统撤稿数据库/图像完整性审计；未见提示不等于认证无问题
E28	NME6	2024	39273527	10.3390/ijms25179580	https://pubmed.ncbi.nlm.nih.gov/39273527/	乳腺癌NME6迁移研究不作CRC验证	MDA-MB-231T乳腺癌	NME6过表达	报告迁移降低；部分药物/细胞周期作用具有条件性	癌种不同；不能用乳腺癌结果宣布NME6在COAD有相同作用	其他癌种，仅背景	原始研究摘要	未证明CAMP对应代谢物介导	线性基因/蛋白	未作系统撤稿数据库/图像完整性审计；未见提示不等于认证无问题
