check_id	scope	requirement	status	evidence_path	reason
01	design	Author-supported pairing and cross-omics mapping; unique statistical units	PARTIAL	sample_audit_summary.tsv	Author pairs/keys and cross-omics matched;clinical identity/aliquot not recertified
02	metabolites	All features retained; primary and sensitivity families separate	DONE	validation.json	Actual output and immutable aggregate checks completed
03	workpool	Exploratory P<0.05 view retains q and full background	DONE	validation.json	Actual output and immutable aggregate checks completed
04	mapping	Exact direct relations; conditional and unknown retained; history union	DONE	validation.json	Actual output and immutable aggregate checks completed
05	association	All current relations; tumor only; n CI P q and missing reasons	DONE	validation.json	Actual output and immutable aggregate checks completed
06	rna	Actual design and scale; all current genes; P and q; missing normal documented	DONE	validation.json	Actual output and immutable aggregate checks completed
07	sc_coverage	All current and history genes; stable IDs and author labels	PARTIAL	appendix/author_identity_evidence.tsv	All687 covered;two cohorts lack exact-cell author malignant labels
08	sc_source	Equal-donor summaries; detection and coverage; uncertain source masked	DONE	validation.json	Actual output and immutable aggregate checks completed
09	sc_replication	Separate studies and shared categories; one-study limits if applicable	PARTIAL	appendix/cross_study.tsv	All/shared category summaries provided;clinical cross-study independence unresolved
10	subtypes	Existing subtype metadata only; own/shared/pooled distinction or absence	NOT_RUN	module_gaps.tsv	No reliable clinical subtype join used;absence documented
11	integration	Full relation IDs; history preserved; evidence and interpretation separate	DONE	validation.json	Actual output and immutable aggregate checks completed
12	presentation	Actual PDF MD Excel figures data captions and full source appendix	DONE	validation.json	Actual output and immutable aggregate checks completed
13	validation	Immutable input; no silent overwrite; page review; ZIP and hash validation	DONE	validation.json	Actual output and immutable aggregate checks completed
14	publication	No restricted data; stage index; verified remote commit; merge status	DONE	publication_verified.json	Actual public report commit verified remotely; PR remains draft and unmerged
