gene	query	engine	searched_on	source_refs	screening_note
AASS	AASS breast cancer knockdown lysine	web_search	2026-09-19	turn143856search0..13	ADA检索注意排除ADAR；ADA2排除CECR2；AASS本轮首检未得可归属BRCA干预证据
ACLY	ACLY breast cancer knockdown citrate	web_search	2026-09-19	turn143856search0..13	ADA检索注意排除ADAR；ADA2排除CECR2；AASS本轮首检未得可归属BRCA干预证据
ADA	ADA adenosine deaminase breast cancer genetic knockdown	web_search	2026-09-19	turn143856search0..13	ADA检索注意排除ADAR；ADA2排除CECR2；AASS本轮首检未得可归属BRCA干预证据
ADA2	ADA2 CECR1 breast cancer macrophage knockdown	web_search	2026-09-19	turn143856search0..13	ADA检索注意排除ADAR；ADA2排除CECR2；AASS本轮首检未得可归属BRCA干预证据
AFMID	"""AFMID"" ""breast cancer"""	web_search	2026-09-19	turn351368search0–15	区分乳腺癌功能研究、其他癌种干预和单纯表达/甲基化关联
AHCY	"""AHCY"" ""breast cancer"" knockdown"	web_search	2026-09-19	turn351368search0–15	区分乳腺癌功能研究、其他癌种干预和单纯表达/甲基化关联
AMDHD2	"""AMDHD2"" ""breast cancer"""	web_search	2026-09-19	turn351368search0–15	区分乳腺癌功能研究、其他癌种干预和单纯表达/甲基化关联
AOX1	"""AOX1"" ""breast cancer"" overexpression"	web_search	2026-09-19	turn351368search0–15	区分乳腺癌功能研究、其他癌种干预和单纯表达/甲基化关联
ARG1	"""ARG1"" ""breast cancer"" knockout macrophage"	web_search	2026-09-19	turn547174search0–16	ARG2检索出现AGR2/TWIST1文章，不能归为ARG2；后续补定向查询
ARG2	"""ARG2"" ""breast cancer"" knockdown"	web_search	2026-09-19	turn547174search0–16	ARG2检索出现AGR2/TWIST1文章，不能归为ARG2；后续补定向查询
ASNS	"""ASNS"" ""breast cancer"" asparagine metastasis knockdown"	web_search	2026-09-19	turn547174search0–16	ARG2检索出现AGR2/TWIST1文章，不能归为ARG2；后续补定向查询
ASS1	"""ASS1"" ""breast cancer"" knockdown arginine"	web_search	2026-09-19	turn547174search0–16	ARG2检索出现AGR2/TWIST1文章，不能归为ARG2；后续补定向查询
BBOX1	BBOX1 breast cancer knockdown gamma butyrobetaine hydroxylase IP3R3	web_search	2026-09-19	turn565089search0–20	BBOX1、BCAT1、CDO1有可归属的原始研究；BCAT2不能借用BCAT1结果
BCAT1	BCAT1 breast cancer knockdown proliferation	web_search	2026-09-19	turn565089search0–20	BBOX1、BCAT1、CDO1有可归属的原始研究；BCAT2不能借用BCAT1结果
BCAT2	BCAT2 breast cancer knockdown	web_search	2026-09-19	turn565089search0–20	BBOX1、BCAT1、CDO1有可归属的原始研究；BCAT2不能借用BCAT1结果
CDO1	CDO1 breast cancer overexpression cysteine dioxygenase	web_search	2026-09-19	turn565089search0–20	BBOX1、BCAT1、CDO1有可归属的原始研究；BCAT2不能借用BCAT1结果
