gene	functional_class	priority_reason	next_minimal_action	study_ids	source_urls
ARG2	功能线索待方法/模型核定	已有细胞周期干预线索，但实际是否为BRCA实验未确定	先核定PMID30759381具体实验细胞，再决定是否赋予BRCA功能支持	S074	https://pubmed.ncbi.nlm.nih.gov/30759381/
CPT1B	功能线索待方法/模型核定	JAK/STAT3-FAO功能很明确，但CPT1B直接构建未核定	定位PMID29249690的CPT1B特异敲低与救援，避免把上游结果全归因	S025	https://pubmed.ncbi.nlm.nih.gov/29249690/
CTNS	功能线索待方法/模型核定	MFSD12/溶酶体胱氨酸储存研究有价值，CTNS归因未完整	直接定位CTNS而不是MFSD12的扰动终点与GSH读数	S028	https://pubmed.ncbi.nlm.nih.gov/37751742/
ETNK1	有干预但情境/方向分歧	2024摘要方向矛盾，2026CTX背景又提示ETNK1参与药效	逐图核定两文构建与处理；本轮暂不赋予普适抑制/激活方向	S031; S032	"https://pubmed.ncbi.nlm.nih.gov/38694857/
https://pubmed.ncbi.nlm.nih.gov/42003071/"
FDFT1	有干预但情境/方向分歧	乳腺癌敲低后促凋亡与促增殖/抑铁死亡结果冲突	按细胞系、药物、救援和营养背景核对，不给统一抑制方向	S033; S034; S035	"https://pubmed.ncbi.nlm.nih.gov/39461203/
https://pmc.ncbi.nlm.nih.gov/articles/PMC12116638/
https://pubmed.ncbi.nlm.nih.gov/40619388/"
FH	有干预但情境/方向分歧	MAEL救援研究与2025 FH促癌研究方向不同	比较独立构建、剂量、代谢区室及ROS背景，先解释冲突	S027; S036	"https://pubmed.ncbi.nlm.nih.gov/36866961/
https://link.springer.com/article/10.1186/s40170-025-00397-z"
GPI	有乳腺癌遗传干预报告	两条糖磷酸关系较稳定，但功能中的代谢/胞外作用未拆开	全文区分GPI与HP干预，查糖磷酸测量及可复用扰动数据	S046	https://pubmed.ncbi.nlm.nih.gov/33042622/
GSS	遗传干预仅分子终点	有GLO1背景GSS耗减挽救VEGFA，但仅分子终点且术语需核清	先查Figure8P具体模型、GSS/GSH区分；不自动赋予肿瘤转移功能	S119	https://advanced.onlinelibrary.wiley.com/doi/10.1002/advs.202500722
HPRT1	遗传干预仅分子终点	有两种siRNA及公开GSE149768，当前核实的是转录改变而非缩瘤	检查公开扰动RNA能否回答嘌呤代谢响应；不冒充已完成代谢中介	S050	https://www.mdpi.com/2072-6694/12/6/1522
KYNU	有乳腺癌遗传干预报告	已读研究为KYNU过表达抑癌，不是敲低抑癌	核查增表达方向与患者正相关的不同问题，避免治疗方向反置	S056	https://pubmed.ncbi.nlm.nih.gov/31332944/
