cancer	stage_id	run_id	analysis_version	status	scope	result_path	code_path	git_branch	reason	next_action
GBM	01_CAMP	20260925T103000Z_discovery_v1	gbm_current_mainline_v1	DONE	full feature discovery;normal conflict superseded by identity v2	results/GBM/01_CAMP/20260925T103000Z_discovery_v1	code/gbm_discovery_v1.py	analysis/gbm-discovery-20260925	unpaired_source_confounding_remains	see_current_GBM_report
GBM	01_CAMP	20260925T144100Z_identity_resolution_v2	gbm_current_mainline_v1	DONE	independent explicit tissue assignment corroboration	results/GBM/01_CAMP/20260925T144100Z_identity_resolution_v2	code/gbm_identity_RNA_v2.py	analysis/gbm-discovery-20260925	processed_sampleanno_conflict_resolved_without_source_changes	see_current_GBM_report
GBM	02_MAPPING	20260925T103000Z_discovery_v1	gbm_current_mainline_v1	PARTIAL	171 reviewed direct relations;142 genes	results/GBM/02_MAPPING/20260925T103000Z_discovery_v1	code/gbm_mapping_v1.py	analysis/gbm-discovery-20260925	457_work_features_pending_precise_mapping	see_current_GBM_report
GBM	03_PATIENT	20260925T103000Z_discovery_v1	gbm_current_mainline_v1	DONE	168 of171 evaluable tumor relations;four families	results/GBM/03_PATIENT/20260925T103000Z_discovery_v1	code/gbm_patient_v1.py	analysis/gbm-discovery-20260925	3_exact_gene_symbols_not_found;RNA status superseded by v2	see_current_GBM_report
GBM	03_PATIENT	20260925T144100Z_identity_resolution_v2	gbm_current_mainline_v1	DONE	139 of142 evaluable unpaired RNA;two families	results/GBM/03_PATIENT/20260925T144100Z_identity_resolution_v2	code/gbm_identity_RNA_v2.py	analysis/gbm-discovery-20260925	3_exact_symbols_not_found;no_paired_design	see_current_GBM_report
GBM	04_ROBUSTNESS	20260925T103000Z_discovery_v1	gbm_current_mainline_v1	DONE	available-value metabolite sensitivity;association_QC_and_covariates_indexed_in03	results/GBM/04_ROBUSTNESS/20260925T103000Z_discovery_v1	code/gbm_discovery_v1.py	analysis/gbm-discovery-20260925	original_normal_conflict_interpretation_superseded_by01v2	see_current_GBM_report
GBM	05_FUNCTION	20260925T103000Z_discovery_v1	gbm_current_mainline_v1	NOT_RUN	function interventions not part of current mainline	results/GBM/05_FUNCTION/20260925T103000Z_discovery_v1	NA	analysis/gbm-discovery-20260925	no_functional_proof_claimed	see_current_GBM_report
GBM	06_EXTERNAL	20260925T103000Z_discovery_v1	gbm_current_mainline_v1	DONE	all142 genes across2 sc source studies	results/GBM/06_EXTERNAL/20260925T103000Z_discovery_v1	code/gbm_sc_source_v1.py	analysis/gbm-discovery-20260925	expression_source_only;not_external_metabolite_validation	see_current_GBM_report
GBM	06_EXTERNAL	20260925T151224Z_sc_replacement_v2	gbm_care_sources_v2	DONE	CARE2025 55primary patients205880nuclei;59recurrent patients222630nuclei;all142 candidates	results/GBM/06_EXTERNAL/20260925T151224Z_sc_replacement_v2	code/gbm_care_profile_v2.py	analysis/gbm-discovery-20260925	one cohort;recurrence context not independent validation;6 exact symbols missing	see_current_GBM_report
GBM	07_INTEGRATION	20260925T145000Z_integration_v1	gbm_current_mainline_v1	PARTIAL	current scoped full relation/gene integration	results/GBM/07_INTEGRATION/20260925T145000Z_integration_v1	code/gbm_integrate_v1.py	analysis/gbm-discovery-20260925	mapping_remaining457;other_missing_rows_retained	see_current_GBM_report
GBM	07_INTEGRATION	20260925T151224Z_sc_replacement_v2	gbm_care_sources_v2	PARTIAL	single-cell replacement complete;142genes171relations;bulk statistics unchanged	results/GBM/07_INTEGRATION/20260925T151224Z_sc_replacement_v2	code/gbm_integrate_care_v2.py	analysis/gbm-discovery-20260925	historical biochemical mapping457features pending;SC replacement DONE	see_current_GBM_report
