study_id	genes	source_url	title	year	review_scope	model	intervention	outcome	metabolite_readout	limits	evidence_class	intervention_direction	web_ref	novelty_note	bibliography_note	publication_integrity_note	new_patient_or_experimental_data	is_legacy_only	source_publication_key	same_study_group
S001	ACLY	https://pubmed.ncbi.nlm.nih.gov/26928812/	Cyclin E Associates with the Lipogenic Enzyme ATP-Citrate Lyase to Enable Malignant Growth of Breast Cancer Cells	2016	ABSTRACT_AND_FULLTEXT_EXCERPT	LMW-E表达的乳腺癌细胞及小鼠肿瘤模型	shRNA降低ACLY；比较全长与低分子量Cyclin E背景	影响转化、迁移、侵袭；LMW-E背景肿瘤形成延迟	测量ACLY活性、脂滴；未证明CAMP bulk citrate关联介导表型	LMW-E特定背景；不是全部乳腺癌普遍依赖	GENETIC_BRCA	抑制方向，依模型	turn143856search9;turn143856search2	已有明确乳腺癌研究；新增问题应是背景分层而非首次发现	title为题名或内容概述；唯一识别以URL/PMID/DOI为准，不把概述当逐字原题	本轮未对全部记录逐一完成撤稿/更正数据库核验；需在主线定稿前复核	NO	False	https://pubmed.ncbi.nlm.nih.gov/26928812	https://pubmed.ncbi.nlm.nih.gov/26928812
S002	ADA	https://www.serbiosoc.org.rs/arch/index.php/abs/article/view/2642	Curcumin inhibits the expression of ornithine decarboxylase and adenosine deaminase genes in MCF-7 human breast cancer cells	2018	ABSTRACT	MCF-7	多靶点姜黄素处理；测ODC1/ADA表达	药物处理伴随表达下调	未证明ADA特异性扰动导致腺苷/肌苷相关表型	非ADA特异遗传证据；不能把ADAR论文算为ADA	INDIRECT_DRUG_CONTEXT	不能确定ADA干预方向	turn143856search4		title为题名或内容概述；唯一识别以URL/PMID/DOI为准，不把概述当逐字原题	本轮未对全部记录逐一完成撤稿/更正数据库核验；需在主线定稿前复核	NO	False	https://www.serbiosoc.org.rs/arch/index.php/abs/article/view/2642	https://www.serbiosoc.org.rs/arch/index.php/abs/article/view/2642
S003	ADA2	https://pubmed.ncbi.nlm.nih.gov/33916440/	Macrophage-Derived Adenosine Deaminase 2 Correlates with M2 Macrophage Phenotype in Triple Negative Breast Cancer	2021	ABSTRACT	MDA-MB-231与THP-1、Jurkat、内皮细胞共培养；TNBC患者	共培养与腺苷脱氨酶活性测量	THP-1上的ADA2活性改变并关联巨噬细胞表型	测腺苷代谢/ADA活性；无当前核实的ADA2特异肿瘤抑制实验	CECR2不是ADA2/CECR1；胶质瘤CECR1干预不可当BRCA验证	BRCA_CONTEXT_NO_GENE_PERTURBATION	暂不确定	turn143856search13		title为题名或内容概述；唯一识别以URL/PMID/DOI为准，不把概述当逐字原题	本轮未对全部记录逐一完成撤稿/更正数据库核验；需在主线定稿前复核	NO	False	https://pubmed.ncbi.nlm.nih.gov/33916440	https://pubmed.ncbi.nlm.nih.gov/33916440
S004	AHCY	https://www.nature.com/articles/s41598-018-32356-8	Knock-down of AHCY and depletion of adenosine induces DNA damage and cell cycle arrest	2018	原始研究检索页可见结果	HepG2肝癌细胞，非乳腺癌	AHCY敲低	腺苷耗竭、DNA损伤和细胞周期停滞；不能迁移为乳腺癌功能支持	腺苷和SAM/SAH相关变化	癌种不适用；当前未取得可归属的BRCA基因特异干预	OTHER_CANCER_ONLY	待解释	turn351368search6		title为题名或内容概述；唯一识别以URL/PMID/DOI为准，不把概述当逐字原题	本轮未对全部记录逐一完成撤稿/更正数据库核验；需在主线定稿前复核	NO	False	https://www.nature.com/articles/s41598-018-32356-8	https://www.nature.com/articles/s41598-018-32356-8
S005	AOX1	https://pubmed.ncbi.nlm.nih.gov/30293322/	AOX1/IRF4 peripheral-blood DNA methylation and breast-cancer risk	2018	摘要/检索结果	401例乳腺癌、555例对照；外周血	病例对照甲基化测量；未干预AOX1	风险关联，不构成基因扰动证据	未核实对应CAMP代谢物变化	血液标志物关联不是乳腺肿瘤细胞中AOX1功能；题名为内容概述	ASSOCIATION_ONLY	待解释	turn351368search2		title为题名或内容概述；唯一识别以URL/PMID/DOI为准，不把概述当逐字原题	本轮未对全部记录逐一完成撤稿/更正数据库核验；需在主线定稿前复核	NO	False	https://pubmed.ncbi.nlm.nih.gov/30293322	https://pubmed.ncbi.nlm.nih.gov/30293322
S006	ASNS	https://pubmed.ncbi.nlm.nih.gov/29414946/	Asparagine bioavailability governs metastasis in a model of breast cancer	2018	原始研究摘要	乳腺癌转移模型；模型细节须以全文为准	ASNS敲低、L-asparaginase、饮食天冬酰胺限制；相反方向干预	限制天冬酰胺减少转移，但不减少该研究中的原发肿瘤生长；增强天冬酰胺供应促进转移	天冬酰胺；不能把转移结论改写为普遍增殖依赖	营养/转移终点和模型特异；并非针对CAMP谷氨酰胺关联的患者因果验证	GENETIC_BRCA	限制ASNS/天冬酰胺用于研究转移，非普遍抑癌判断	turn547174search8	乳腺癌ASNS—天冬酰胺转移机制已发表，不能声称首次发现	title为题名或内容概述；唯一识别以URL/PMID/DOI为准，不把概述当逐字原题	本轮未对全部记录逐一完成撤稿/更正数据库核验；需在主线定稿前复核	NO	False	https://pubmed.ncbi.nlm.nih.gov/29414946	https://pubmed.ncbi.nlm.nih.gov/29414946
S007	ASNS	https://pubmed.ncbi.nlm.nih.gov/40531994/	FAM50A drives breast cancer brain metastasis through interaction with C9ORF78 to enhance L-asparagine production	2025	原始研究摘要	乳腺癌脑转移模型	FAM50A抑制/天冬酰胺酶；摘要未逐项核实ASNS直接扰动	脑转移抑制，支持ASNS—天冬酰胺轴的脑转移背景	L-asparagine合成	当前可见摘要主要为上游调控；不能记为已经核实的独立ASNS敲除实验	PATHWAY_CONTEXT_BRCA	待解释	turn547174search3	提示已有器官特异研究，不宜把脑转移扩展当作天然空白	title为题名或内容概述；唯一识别以URL/PMID/DOI为准，不把概述当逐字原题	本轮未对全部记录逐一完成撤稿/更正数据库核验；需在主线定稿前复核	NO	False	https://pubmed.ncbi.nlm.nih.gov/40531994	https://pubmed.ncbi.nlm.nih.gov/40531994
S008	ASS1	https://www.nature.com/articles/s41419-024-06672-z	ASS1 inhibits triple-negative breast cancer by regulating PHGDH stability and de novo serine synthesis	2024	原始研究摘要及可见结果	TNBC细胞与成瘤模型	ASS1增加/缺失；PHGDH稳定性与丝氨酸相关救援	ASS1限制成瘤；缺失可部分缓解丝/甘氨酸缺乏抑制，丝氨酸补充影响过表达表型	PHGDH及新生丝氨酸合成	不是简单的ASS1抑制策略；CAMP天冬氨酸/瓜氨酸关系不能直接等同该机制	GENETIC_BRCA	恢复/增强ASS1作用的假说；具体模型限定	turn547174search14	已有直接TNBC机制，适合作为方向/功能辨析候选	title为题名或内容概述；唯一识别以URL/PMID/DOI为准，不把概述当逐字原题	本轮未对全部记录逐一完成撤稿/更正数据库核验；需在主线定稿前复核	NO	False	https://www.nature.com/articles/s41419-024-06672-z	https://www.nature.com/articles/s41419-024-06672-z
S009	ASS1	https://pubmed.ncbi.nlm.nih.gov/24692592/	Arginine deprivation induces cell death in ASS1-deficient breast-cancer models	2014	原始研究摘要	ASS1缺乏的乳腺癌模型	ADI-PEG20精氨酸剥夺；自噬背景比较	诱导线粒体损伤和细胞死亡/生长抑制	精氨酸缺乏	ASS1缺失是响应背景，不等于干预ASS1可普遍治疗；题名为内容概述	DRUG_CONTEXT_BRCA	针对ASS1低背景的精氨酸剥夺，不是抑制ASS1结论	turn547174search13		title为题名或内容概述；唯一识别以URL/PMID/DOI为准，不把概述当逐字原题	本轮未对全部记录逐一完成撤稿/更正数据库核验；需在主线定稿前复核	NO	False	https://pubmed.ncbi.nlm.nih.gov/24692592	https://pubmed.ncbi.nlm.nih.gov/24692592
S010	ASS1	https://www.nature.com/articles/s41467-021-22235-8	Naturally-occurring spinosyn A and its derivatives function as argininosuccinate synthase activator and tumor inhibitor	2021	原始研究摘要/检索结果	乳腺癌相关模型	Spinosyn A及衍生物激活ASS1；具体遗传验证未逐图核实	ASS1激活和抗肿瘤表型	精氨酸代谢酶活性	药物靶向归属及基因救援需进一步全文定位；不可作临床用药建议	DRUG_CONTEXT_BRCA	ASS1激活方向	turn547174search15		title为题名或内容概述；唯一识别以URL/PMID/DOI为准，不把概述当逐字原题	本轮未对全部记录逐一完成撤稿/更正数据库核验；需在主线定稿前复核	NO	False	https://www.nature.com/articles/s41467-021-22235-8	https://www.nature.com/articles/s41467-021-22235-8
